business_name,categories,rating,address,price_range,url
Bangkok Thai and Pho 911,Thai,4,410 E Green St ,$,https://www.yelp.com/biz/bangkok-thai-and-pho-911-champaign?osq=Restaurants
Bar-B-Q Heaven,"Barbeque,Street Vendors",4, ,,https://www.yelp.com/biz/bar-b-q-heaven-champaign?osq=Restaurants
Basil Thai Kitchen,Thai,5,2000 N Neil St ,,https://www.yelp.com/biz/basil-thai-kitchen-champaign?osq=Restaurants
Basil Thai Urbana,Thai,3,701 S Gregory St ,$,https://www.yelp.com/biz/basil-thai-urbana-urbana?osq=Restaurants
Baxter's American Grille,"American (Traditional),Steakhouses,Bars",4.5,100 Trade Centre Dr ,$$,https://www.yelp.com/biz/baxters-american-grille-champaign?osq=Restaurants
BBQ Premium Chicken,Korean,3,700 S Gregory St ,$$,https://www.yelp.com/biz/bbq-premium-chicken-urbana?osq=Restaurants
Beckman Cafe,Cafeteria,3,405 N Mathews Ave ,$,https://www.yelp.com/biz/beckman-cafe-urbana?osq=Restaurants
Best Wok,Chinese,3,907 W Marketview Dr ,$,https://www.yelp.com/biz/best-wok-champaign?osq=Restaurants
Betsy's Bistro at Parkland,Cafes,4,2400 W Bradley Ave ,,https://www.yelp.com/biz/betsys-bistro-at-parkland-champaign?osq=Restaurants
Bevier Cafe,"American (New),Cafes",4.5,905 S Goodwin Ave ,$,https://www.yelp.com/biz/bevier-cafe-urbana?osq=Restaurants
Biaggi's Ristorante Italiano,Italian,3.5,2235 S Neil St ,$$,https://www.yelp.com/biz/biaggis-ristorante-italiano-champaign-2?osq=Restaurants
Big Grove Tavern,"American (New),Pubs,Breakfast & Brunch",3.5,1 E Main St ,$$,https://www.yelp.com/biz/big-grove-tavern-champaign?osq=Restaurants
Big J J Fish & Chicken,"Chicken Wings,Fish & Chips,Fast Food",4,1114 N Market St ,$,https://www.yelp.com/biz/big-j-j-fish-and-chicken-champaign?osq=Restaurants
BIGGBY COFFEE,"Coffee & Tea,Cafes",4,401 S Mattis Ave ,$,https://www.yelp.com/biz/biggby-coffee-champaign?osq=Restaurants
Billy Barooz Bar & Grill,"Sports Bars,American (Traditional)",3.5,2521 Village Green Pl ,$$,https://www.yelp.com/biz/billy-barooz-bar-and-grill-champaign?osq=Restaurants
Black Dog Smoke & Ale House,"Barbeque,American (Traditional)",4.5,201 N Broadway Ave ,$$,https://www.yelp.com/biz/black-dog-smoke-and-ale-house-urbana?osq=Restaurants
Black Dog Smoke & Ale House,"Barbeque,Bars",4,320 N Chestnut St ,$$,https://www.yelp.com/biz/black-dog-smoke-and-ale-house-champaign?osq=Restaurants
Blaze Fast-Fire'd Pizza,"Salad,Fast Food,Pizza",2,1401 W Green St ,,https://www.yelp.com/biz/blaze-fast-fired-pizza-urbana?osq=Restaurants
Blaze Fast-Fire'd Pizza,"Salad,Fast Food,Pizza",3.5,2610 N Prospect Ave ,$,https://www.yelp.com/biz/blaze-fast-fired-pizza-champaign?osq=Restaurants
Blaze Pizza,Pizza,1,1401 W Green St ,,https://www.yelp.com/biz/blaze-pizza-urbana?osq=Restaurants
Bo Bo China,Chinese,2.5,404 E Green St ,$,https://www.yelp.com/biz/bo-bo-china-champaign?osq=Restaurants
Bob Evans,"Breakfast & Brunch,American (Traditional),Comfort Food",2.5,1813 N Neil St ,$,https://www.yelp.com/biz/bob-evans-champaign?osq=Restaurants
BoBo's BBQ,Barbeque,3.5,1511 W Springfield Ave ,$,https://www.yelp.com/biz/bobos-bbq-champaign?osq=Restaurants
Bombay Indian Grill,Indian,3.5,401 E Green St ,$$,https://www.yelp.com/biz/bombay-indian-grill-champaign?osq=Restaurants
Boomerang's Bar & Grill,"American (Traditional),Bars",4,1309 E Washington St ,$,https://www.yelp.com/biz/boomerangs-bar-and-grill-urbana?osq=Restaurants
Borneo's Pizza & Italian Food,"Italian,Pizza",0,RR 3 ,,https://www.yelp.com/biz/borneos-pizza-and-italian-food-champaign?osq=Restaurants
Bossa Nova Cafe,Cafes,5,1 E Main St ,,https://www.yelp.com/biz/bossa-nova-cafe-champaign?osq=Restaurants
Breaking Taco,Mexican,4.5,608 E Main St ,$,https://www.yelp.com/biz/breaking-taco-mahomet?osq=Restaurants
Broadway Food Hall,Food Court,4.5,401 N Broadway Ave ,$$,https://www.yelp.com/biz/broadway-food-hall-urbana-4?osq=Restaurants
Buckee's Pizza,Pizza,0,901 S 4th St ,,https://www.yelp.com/biz/buckees-pizza-champaign?osq=Restaurants
Buffalo Wild Wings,"American (Traditional),Sports Bars,Chicken Wings",3,1335 Savoy Plaza Dr ,$$,https://www.yelp.com/biz/buffalo-wild-wings-savoy?osq=Restaurants
Buffalo Wild Wings,"American (Traditional),Sports Bars,Chicken Wings",2,907 W Marketview Dr ,$$,https://www.yelp.com/biz/buffalo-wild-wings-champaign?osq=Restaurants
Buford's Pub,"Burgers,Dive Bars,Cocktail Bars",4.5,109 E Market St ,,https://www.yelp.com/biz/bufords-pub-sadorus?osq=Restaurants
Bunny's Tavern,"Dive Bars,American (Traditional)",4,119 W Water St ,$,https://www.yelp.com/biz/bunnys-tavern-urbana?osq=Restaurants
Burger King,"Fast Food,Burgers",3.5,1106 West University Ave ,$,https://www.yelp.com/biz/burger-king-urbana-3?osq=Restaurants
Burger King,"Burgers,Fast Food",2,1325 N Dunlap Ave ,$,https://www.yelp.com/biz/burger-king-savoy?osq=Restaurants
Burger King,"Fast Food,Burgers",2,1708 Philo Rd ,$,https://www.yelp.com/biz/burger-king-urbana-2?osq=Restaurants
Burger King,"Burgers,Fast Food",2,2105 West Springfield Ave ,$,https://www.yelp.com/biz/burger-king-champaign-4?osq=Restaurants
Burger King,"Burgers,Fast Food",1.5,2110 North Prospect Ave ,$,https://www.yelp.com/biz/burger-king-champaign-3?osq=Restaurants
Burrito King,Mexican,3.5,408 E Green St ,$,https://www.yelp.com/biz/burrito-king-champaign-4?osq=Restaurants
Burrito King,"Mexican,Food Trucks",2.5,902 W University Ave ,,https://www.yelp.com/biz/burrito-king-urbana?osq=Restaurants
Cactus Grill,"Tex-Mex,Mexican",4,1405 S Neil St ,$,https://www.yelp.com/biz/cactus-grill-champaign?osq=Restaurants
Cafe Kopi,"Coffee & Tea,Desserts,Sandwiches",4,109 N Walnut St ,$,https://www.yelp.com/biz/cafe-kopi-champaign-3?osq=Restaurants
Cafe Sababa,"Kosher,Vegetarian,Pizza",5,503 E John St ,$,https://www.yelp.com/biz/cafe-sababa-champaign?osq=Restaurants
