business_name,categories,rating,address,price_range,url
Billy Barooz Bar & Grill,"Sports Bars,American (Traditional)",3.5,"2521 Village Green Pl , Illinois",$$,https://www.yelp.com/biz/billy-barooz-bar-and-grill-champaign?osq=Restaurants
Black Dog Smoke & Ale House,"Barbeque,American (Traditional)",4.5,"201 N Broadway Ave , Illinois",$$,https://www.yelp.com/biz/black-dog-smoke-and-ale-house-urbana?osq=Restaurants
Black Dog Smoke & Ale House,"Barbeque,Bars",4,"320 N Chestnut St , Illinois",$$,https://www.yelp.com/biz/black-dog-smoke-and-ale-house-champaign?osq=Restaurants
Blaze Fast-Fire'd Pizza,"Salad,Fast Food,Pizza",2,"1401 W Green St , Illinois",,https://www.yelp.com/biz/blaze-fast-fired-pizza-urbana?osq=Restaurants
Blaze Fast-Fire'd Pizza,"Salad,Fast Food,Pizza",3.5,"2610 N Prospect Ave , Illinois",$,https://www.yelp.com/biz/blaze-fast-fired-pizza-champaign?osq=Restaurants
Blaze Pizza,Pizza,1,"1401 W Green St , Illinois",,https://www.yelp.com/biz/blaze-pizza-urbana?osq=Restaurants
Bo Bo China,Chinese,2.5,"404 E Green St , Illinois",$,https://www.yelp.com/biz/bo-bo-china-champaign?osq=Restaurants
Bob Evans,"Breakfast & Brunch,American (Traditional),Comfort Food",2.5,"1813 N Neil St , Illinois",$,https://www.yelp.com/biz/bob-evans-champaign?osq=Restaurants
BoBo's BBQ,Barbeque,3.5,"1511 W Springfield Ave , Illinois",$,https://www.yelp.com/biz/bobos-bbq-champaign?osq=Restaurants
Bombay Indian Grill,Indian,3.5,"401 E Green St , Illinois",$$,https://www.yelp.com/biz/bombay-indian-grill-champaign?osq=Restaurants
Boomerang's Bar & Grill,"American (Traditional),Bars",4,"1309 E Washington St , Illinois",$,https://www.yelp.com/biz/boomerangs-bar-and-grill-urbana?osq=Restaurants
Borneo's Pizza & Italian Food,"Italian,Pizza",0,"RR 3 , Illinois",,https://www.yelp.com/biz/borneos-pizza-and-italian-food-champaign?osq=Restaurants
Bossa Nova Cafe,Cafes,5,"1 E Main St , Illinois",,https://www.yelp.com/biz/bossa-nova-cafe-champaign?osq=Restaurants
Breaking Taco,Mexican,4.5,"608 E Main St , Illinois",$,https://www.yelp.com/biz/breaking-taco-mahomet?osq=Restaurants
Broadway Food Hall,Food Court,4.5,"401 N Broadway Ave , Illinois",$$,https://www.yelp.com/biz/broadway-food-hall-urbana-4?osq=Restaurants
Buckee's Pizza,Pizza,0,"901 S 4th St , Illinois",,https://www.yelp.com/biz/buckees-pizza-champaign?osq=Restaurants
Buffalo Wild Wings,"American (Traditional),Sports Bars,Chicken Wings",3,"1335 Savoy Plaza Dr , Illinois",$$,https://www.yelp.com/biz/buffalo-wild-wings-savoy?osq=Restaurants
Buffalo Wild Wings,"American (Traditional),Sports Bars,Chicken Wings",2,"907 W Marketview Dr , Illinois",$$,https://www.yelp.com/biz/buffalo-wild-wings-champaign?osq=Restaurants
Buford's Pub,"Burgers,Dive Bars,Cocktail Bars",4.5,"109 E Market St , Illinois",,https://www.yelp.com/biz/bufords-pub-sadorus?osq=Restaurants
Bunny's Tavern,"Dive Bars,American (Traditional)",4,"119 W Water St , Illinois",$,https://www.yelp.com/biz/bunnys-tavern-urbana?osq=Restaurants
Burger King,"Fast Food,Burgers",3.5,"1106 West University Ave , Illinois",$,https://www.yelp.com/biz/burger-king-urbana-3?osq=Restaurants
Burger King,"Burgers,Fast Food",2,"1325 N Dunlap Ave , Illinois",$,https://www.yelp.com/biz/burger-king-savoy?osq=Restaurants
Burger King,"Fast Food,Burgers",2,"1708 Philo Rd , Illinois",$,https://www.yelp.com/biz/burger-king-urbana-2?osq=Restaurants
Burger King,"Burgers,Fast Food",2,"2105 West Springfield Ave , Illinois",$,https://www.yelp.com/biz/burger-king-champaign-4?osq=Restaurants
Burger King,"Burgers,Fast Food",1.5,"2110 North Prospect Ave , Illinois",$,https://www.yelp.com/biz/burger-king-champaign-3?osq=Restaurants
Burrito King,Mexican,3.5,"408 E Green St , Illinois",$,https://www.yelp.com/biz/burrito-king-champaign-4?osq=Restaurants
Burrito King,"Mexican,Food Trucks",2.5,"902 W University Ave , Illinois",,https://www.yelp.com/biz/burrito-king-urbana?osq=Restaurants
Cactus Grill,"Tex-Mex,Mexican",4,"1405 S Neil St , Illinois",$,https://www.yelp.com/biz/cactus-grill-champaign?osq=Restaurants
Cafe Kopi,"Coffee & Tea,Desserts,Sandwiches",4,"109 N Walnut St , Illinois",$,https://www.yelp.com/biz/cafe-kopi-champaign-3?osq=Restaurants
Cafe Sababa,"Kosher,Vegetarian,Pizza",5,"503 E John St , Illinois",$,https://www.yelp.com/biz/cafe-sababa-champaign?osq=Restaurants
Cafeteria & Company,"Coffee & Tea,Sandwiches,Cafes",3.5,"208 W Main St , Illinois",,https://www.yelp.com/biz/cafeteria-and-company-urbana?osq=Restaurants
Caffe Paradiso,"Coffee & Tea,Sandwiches,Shaved Ice",3.5,"801 S Lincoln Ave , Illinois",$,https://www.yelp.com/biz/caffe-paradiso-urbana?osq=Restaurants
Caffebene,"Cafes,Coffee & Tea,Desserts",3,"700 S Gregory St , Illinois",$$,https://www.yelp.com/biz/caffebene-urbana-2?osq=Restaurants
Campus Burger,"American (Traditional),Burgers",2.5,"2000 N Neil St , Illinois",,https://www.yelp.com/biz/campus-burger-champaign?osq=Restaurants
Caribbean Grill Food Truck,"Caribbean,Food Trucks,Desserts",4.5," , Illinois",$,https://www.yelp.com/biz/caribbean-grill-food-truck-urbana?osq=Restaurants
Caribbean Grill Restaurant,"Caribbean,Desserts",4.5,"2135 S Neil St , Illinois",$,https://www.yelp.com/biz/caribbean-grill-restaurant-champaign?osq=Restaurants
